DAUID,Province or territory,CISR Dimension 1 Scores,CISR Dimension 2 Scores,CISR Dimension 3 Scores,CISR Scores,CISR Quintiles,CISR Most Resilient Dimension
10010345,Newfoundland & Labrador,0.53192,0.29207,0.91195,0.57865,5,Dimension 3
10010346,Newfoundland & Labrador,1.26239,0.87274,0.60134,0.91216,5,Dimension 1
10010348,Newfoundland & Labrador,0.18246,-0.04703,0.87813,0.33785,4,Dimension 3
10010356,Newfoundland & Labrador,0.43209,-0.38229,-3.06233,-1.00418,1,Dimension 1
10010357,Newfoundland & Labrador,2.26829,0.87585,-1.05365,0.69683,5,Dimension 1
10010457,Newfoundland & Labrador,-0.76234,0.01557,-0.66971,-0.47216,2,Dimension 2
10010458,Newfoundland & Labrador,-0.56375,-0.14967,-0.47377,-0.39573,2,Dimension 2
10010459,Newfoundland & Labrador,1.00453,0.5679,-1.70482,-0.04413,3,Dimension 1
10010460,Newfoundland & Labrador,0.32315,0.28495,-0.76175,-0.05122,3,Dimension 1
10010461,Newfoundland & Labrador,-0.1517,-0.08306,-1.21811,-0.48429,2,Dimension 2
10010482,Newfoundland & Labrador,1.21957,-0.38655,-0.14321,0.22994,4,Dimension 1
10010484,Newfoundland & Labrador,-0.62062,-0.57387,-1.68011,-0.9582,1,Dimension 2
10010485,Newfoundland & Labrador,0.99642,0.81768,-0.48505,0.44301,4,Dimension 1
10010486,Newfoundland & Labrador,0.6567,0.0075,-0.2809,0.12777,3,Dimension 1
10010488,Newfoundland & Labrador,0.08714,-0.6472,-1.08527,-0.54844,1,Dimension 1
10010489,Newfoundland & Labrador,0.62962,0.04121,-0.71901,-0.01606,3,Dimension 1
10010490,Newfoundland & Labrador,0.55679,0.73866,-0.41929,0.29205,4,Dimension 2
10010491,Newfoundland & Labrador,-0.35869,-0.17096,-0.09624,-0.20863,2,Dimension 3
10010492,Newfoundland & Labrador,-0.61203,-0.30188,-1.17585,-0.69659,1,Dimension 2
10010493,Newfoundland & Labrador,-0.01537,0.90223,-0.60105,0.09527,3,Dimension 2
10010494,Newfoundland & Labrador,-0.45088,0.48802,-1.07476,-0.34587,2,Dimension 2
10010495,Newfoundland & Labrador,-0.19519,-0.7784,-1.43079,-0.80146,1,Dimension 1
10010496,Newfoundland & Labrador,-1.93179,1.01651,-1.07886,-0.66471,1,Dimension 2
10010497,Newfoundland & Labrador,-2.23781,0.44242,-1.52253,-1.10597,1,Dimension 2
10010498,Newfoundland & Labrador,-1.60894,1.00121,-0.49103,-0.36625,2,Dimension 2
10010499,Newfoundland & Labrador,-1.12488,0.98411,-2.04491,-0.72856,1,Dimension 2
10010500,Newfoundland & Labrador,-1.75539,0.41859,-1.04185,-0.79288,1,Dimension 2
10010501,Newfoundland & Labrador,-1.95831,0.20741,-1.47134,-1.07408,1,Dimension 2
10010502,Newfoundland & Labrador,-1.06028,-0.11349,-1.10699,-0.76025,1,Dimension 2
10010503,Newfoundland & Labrador,-1.14035,1.36343,-1.04204,-0.27299,2,Dimension 2
10010504,Newfoundland & Labrador,-1.18266,0.52314,-1.91441,-0.85798,1,Dimension 2
10010505,Newfoundland & Labrador,-1.3379,0.02726,-1.22246,-0.84436,1,Dimension 2
10010506,Newfoundland & Labrador,-0.73206,-0.16739,-1.40565,-0.76837,1,Dimension 2
10010507,Newfoundland & Labrador,-1.06153,-0.56005,-0.44841,-0.69,1,Dimension 3
10010508,Newfoundland & Labrador,-0.86507,0.26347,-0.84876,-0.48345,2,Dimension 2
10010509,Newfoundland & Labrador,-0.36723,0.35043,-0.97559,-0.3308,2,Dimension 2
10010510,Newfoundland & Labrador,-1.06184,0.41193,-1.373,-0.6743,1,Dimension 2
