DAUID,CISV Dimension 1 Scores,CISV Dimension 2 Scores,CISV Dimension 3 Scores,CISV Dimension 4 Scores,CISV Scores,CISV Quintiles,CISV Most Vulnerable Dimension
10010458,-0.23624,-0.25962,0.41893,0.34704,0.06753,4,Dimension 3
10010459,-0.61454,1.57485,-0.70284,0.10131,0.08969,4,Dimension 2
10010460,-0.92963,-0.27833,-0.28023,0.41592,-0.26807,2,Dimension 4
10010461,-0.28805,0.11039,0.02662,0.5936,0.11064,4,Dimension 4
10010482,-0.32946,-0.40225,-0.43695,0.21768,-0.23774,2,Dimension 4
10010484,-0.00209,2.44184,-0.2666,1.22028,0.84836,5,Dimension 2
10010485,-0.77369,-0.53251,-0.30752,-0.72604,-0.58494,1,Dimension 3
10010486,-0.43632,-0.00975,-0.09676,0.43883,-0.026,3,Dimension 4
10010488,-0.38851,0.79195,-0.3581,0.9434,0.24719,4,Dimension 4
10010489,-0.52822,-0.31276,-0.2995,1.91894,0.19462,4,Dimension 4
10010490,-0.70344,0.70917,-0.86645,-0.29587,-0.28915,2,Dimension 2
10010491,-0.7463,-0.06905,-0.11415,0.40977,-0.12993,3,Dimension 4
10010492,-0.55621,0.72733,0.48896,0.97305,0.40828,5,Dimension 4
10010493,-0.71404,0.04791,-0.41108,0.0978,-0.24485,2,Dimension 4
10010494,-1.07115,0.31697,0.21794,0.51748,-0.00469,3,Dimension 4
10010495,-0.4638,0.20942,0.46689,2.35122,0.64093,5,Dimension 4
10010496,-1.56971,0.96692,1.65662,-0.48334,0.14262,4,Dimension 3
10010497,-1.08073,1.25133,2.13994,0.44491,0.68886,5,Dimension 3
10010498,-1.3978,0.30913,1.28913,-0.47483,-0.0686,3,Dimension 3
10010499,-1.60853,1.29283,1.45144,-0.13279,0.25074,4,Dimension 3
10010500,-1.17084,0.18688,2.4343,0.53849,0.49721,5,Dimension 3
10010501,-1.36499,1.0525,1.75077,0.38009,0.45459,5,Dimension 3
10010502,-0.79009,1.19384,0.58177,0.7725,0.4395,5,Dimension 2
10010503,-1.33611,0.79507,1.54548,-0.09071,0.22843,4,Dimension 3
10010504,-1.38404,1.75939,0.48657,0.35655,0.30462,4,Dimension 2
10010505,-1.04759,0.88165,1.18046,0.30817,0.33068,4,Dimension 3
10010506,-0.5208,1.50996,1.25549,-0.21331,0.50784,5,Dimension 2
10010507,-0.5571,0.91417,1.3069,0.44121,0.52629,5,Dimension 3
10010508,-1.01052,0.82755,0.78559,0.21593,0.20464,4,Dimension 2
10010509,-0.89404,1.15275,1.07976,-0.32051,0.25449,4,Dimension 2
10010510,-0.86527,1.08503,1.34858,0.57215,0.53512,5,Dimension 3
10010511,-0.86276,0.44086,1.48186,0.99698,0.51423,5,Dimension 3
10010512,-0.80479,0.84943,1.4601,0.55955,0.51607,5,Dimension 3
10010513,-0.7413,2.62741,0.32241,0.26021,0.61718,5,Dimension 2
10010514,-0.2507,3.51149,1.25246,0.8399,1.33828,5,Dimension 2
10010515,-0.83636,0.79199,1.16084,-0.01092,0.27639,4,Dimension 3
10010516,-0.78966,0.98234,0.97969,-0.21666,0.23893,4,Dimension 2
10010517,-0.72865,0.47639,0.60132,0.1117,0.11519,4,Dimension 3
10010518,-0.47803,1.36684,0.602,1.39841,0.72231,5,Dimension 4
10010519,-0.79118,0.97655,1.02849,0.92085,0.53368,5,Dimension 3
10010520,-1.22539,-0.36316,0.39728,0.31029,-0.22025,2,Dimension 3
10010521,-0.57537,0.99011,0.70912,0.07953,0.30085,4,Dimension 2
10010522,-0.59637,1.47223,2.00356,1.19774,1.01929,5,Dimension 3
10010523,-0.84543,1.93331,1.6374,0.25811,0.74585,5,Dimension 2
10010524,-0.42263,1.2382,1.12207,1.19367,0.78283,5,Dimension 2
10010525,-1.18841,0.91572,0.40444,-0.03514,0.02415,3,Dimension 2
10010526,-1.35086,1.36503,0.47657,-0.37178,0.02974,3,Dimension 2
10010527,-0.94561,0.58475,1.58792,0.06318,0.32256,4,Dimension 3
10010529,-1.07376,0.52966,1.4108,-0.19813,0.16714,4,Dimension 3
10010530,-0.88264,1.30926,0.95133,0.14081,0.37969,4,Dimension 2
10010531,-0.84459,0.9798,0.64359,0.58372,0.34063,4,Dimension 2
10010532,-0.8654,1.66465,0.65078,0.23101,0.42026,5,Dimension 2
10010533,-0.32884,2.16234,2.29973,0.32657,1.11495,5,Dimension 3
10010534,-1.20081,1.02519,1.90737,-0.61799,0.27844,4,Dimension 3
10010535,-1.03567,0.04006,0.8418,-0.41547,-0.14232,3,Dimension 3
10010536,-0.87951,0.18816,0.94638,0.28598,0.13525,4,Dimension 3
10010537,-0.91615,0.34932,0.15492,0.03182,-0.09502,3,Dimension 2
10010538,-1.03248,0.60673,0.5872,-0.62964,-0.11705,3,Dimension 2
10010539,-1.00853,1.04965,0.30035,0.12762,0.11727,4,Dimension 2
10010540,-0.81664,0.63073,0.62948,-0.38575,0.01445,3,Dimension 2
10010541,-0.58302,0.09228,1.15373,0.51446,0.29437,4,Dimension 3
10010542,-0.99441,0.81627,1.43147,0.18114,0.35862,4,Dimension 3
10010543,-0.60862,1.20421,1.48644,0.30111,0.59579,5,Dimension 3
10010544,-0.94873,0.62584,0.67902,-0.16487,0.04781,4,Dimension 3
10010546,-1.03336,1.22754,0.60865,0.13236,0.2338,4,Dimension 2
