CSDUID,CSD_name,outcome,n_DA,model_type,test_type,r2,aic,coef_json
3518013,,canopy_proportion_da,265,SLM,SLM,0.243,704.61,"{""rho"":0.5126,""(Intercept)"":-0.0551,""Ethno.cultural.Composition"":-0.0872,""Economic.Dependency"":0.0838,""CISV.Scores"":-0.0887,""total_area_km2_da"":0.0213}"
3518013,,canopy_proportion_road,265,SLM,SLM,0.4999,605.78,"{""rho"":0.6619,""(Intercept)"":0.0726,""Ethno.cultural.Composition"":-0.0965,""Economic.Dependency"":0.1119,""CISV.Scores"":-0.2604,""total_area_km2_road"":-0.109}"
3519028,,canopy_proportion_da,287,SAC,SAC,0.3906,728.46,"{""rho"":0.7462,""lambda"":-0.3361,""(Intercept)"":-0.0319,""Ethno.cultural.Composition"":-0.1486,""Economic.Dependency"":-0.0792,""CISV.Scores"":-0.0043,""total_area_km2_da"":0.0151}"
3519028,,canopy_proportion_road,287,SLM,SLM,0.6003,606.41,"{""rho"":0.7897,""(Intercept)"":0.0682,""Ethno.cultural.Composition"":-0.0654,""Economic.Dependency"":0.0198,""CISV.Scores"":-0.0988,""total_area_km2_road"":-0.1074}"
3519036,,canopy_proportion_da,337,SLM,SLM,0.6149,680.37,"{""rho"":0.6683,""(Intercept)"":-0.0137,""Ethno.cultural.Composition"":-0.2784,""Economic.Dependency"":0.1114,""CISV.Scores"":0.0007,""total_area_km2_da"":-0.0366}"
3519036,,canopy_proportion_road,337,SLM,SLM,0.5025,765.62,"{""rho"":0.6597,""(Intercept)"":0.0849,""Ethno.cultural.Composition"":-0.1126,""Economic.Dependency"":0.0536,""CISV.Scores"":-0.1065,""total_area_km2_road"":-0.2169}"
3519038,,canopy_proportion_da,209,SAC,SAC (all significant),0.3669,535.42,"{""rho"":0.6433,""lambda"":-0.3625,""(Intercept)"":-0.023,""Ethno.cultural.Composition"":-0.2457,""Economic.Dependency"":0.1017,""CISV.Scores"":0.0737,""total_area_km2_da"":0.1262}"
3519038,,canopy_proportion_road,209,SLM,SLM,0.4888,482.75,"{""rho"":0.6187,""(Intercept)"":0.0637,""Ethno.cultural.Composition"":-0.0755,""Economic.Dependency"":0.167,""CISV.Scores"":-0.2125,""total_area_km2_road"":-0.2231}"
3519046,,canopy_proportion_da,62,OLS,OLS,0.0336,184.82,"{""(Intercept)"":1.0901e-16,""Ethno.cultural.Composition"":0.0748,""Economic.Dependency"":0.2126,""CISV.Scores"":-0.1936,""total_area_km2_da"":0.0748}"
3519046,,canopy_proportion_road,62,OLS,OLS,0.4113,154.09,"{""(Intercept)"":-2.832e-16,""Ethno.cultural.Composition"":-0.1954,""Economic.Dependency"":0.1474,""CISV.Scores"":-0.3887,""total_area_km2_road"":-0.3465}"
3519048,,canopy_proportion_da,104,SAC,SAC (all significant),0.3138,276.64,"{""rho"":0.5132,""lambda"":0.0949,""(Intercept)"":0.0018,""Ethno.cultural.Composition"":-0.2526,""Economic.Dependency"":0.0294,""CISV.Scores"":0.004,""total_area_km2_da"":0.0585}"
3519048,,canopy_proportion_road,104,SEM,SEM,0.5365,238.56,"{""lambda"":0.67,""(Intercept)"":0.1413,""Ethno.cultural.Composition"":-0.1625,""Economic.Dependency"":0.0896,""CISV.Scores"":-0.2464,""total_area_km2_road"":-0.3818}"
3521005,,canopy_proportion_da,964,SAC,SAC (all significant),0.6045,1993.19,"{""rho"":0.7762,""lambda"":-0.2427,""(Intercept)"":-0.006,""Ethno.cultural.Composition"":-0.1778,""Economic.Dependency"":0.0672,""CISV.Scores"":-0.0317,""total_area_km2_da"":-0.0237}"
3521005,,canopy_proportion_road,964,SAC,SAC (all significant),0.5519,2069.08,"{""rho"":0.6802,""lambda"":-0.0908,""(Intercept)"":0.056,""Ethno.cultural.Composition"":-0.1707,""Economic.Dependency"":0.1129,""CISV.Scores"":-0.1724,""total_area_km2_road"":-0.061}"
3521010,,canopy_proportion_da,680,SLM,SLM,0.4089,1603.25,"{""rho"":0.3899,""(Intercept)"":-0.0346,""Ethno.cultural.Composition"":-0.4118,""Economic.Dependency"":-0.0161,""CISV.Scores"":0.0322,""total_area_km2_da"":0.0084}"
3521010,,canopy_proportion_road,680,SAC,SAC (all significant),0.5328,1497.24,"{""rho"":0.6802,""lambda"":-0.2404,""(Intercept)"":0.0409,""Ethno.cultural.Composition"":-0.2405,""Economic.Dependency"":-0.0101,""CISV.Scores"":-0.0382,""total_area_km2_road"":-0.1112}"
3522014,,canopy_proportion_da,44,OLS,OLS,0.3549,116.57,"{""(Intercept)"":-8.7969e-17,""Ethno.cultural.Composition"":-0.18,""Economic.Dependency"":0.873,""CISV.Scores"":-0.6542,""total_area_km2_da"":0.1073}"
3522014,,canopy_proportion_road,44,SLM,SLM,0.4802,110.95,"{""rho"":0.4338,""(Intercept)"":0.0643,""Ethno.cultural.Composition"":-0.2419,""Economic.Dependency"":0.2511,""CISV.Scores"":-0.2215,""total_area_km2_road"":-0.3935}"
3523008,,canopy_proportion_da,199,SLM,SLM,0.2616,523.34,"{""rho"":0.4,""(Intercept)"":-0.0243,""Ethno.cultural.Composition"":-0.3301,""Economic.Dependency"":-0.1397,""CISV.Scores"":0.0431,""total_area_km2_da"":0.1047}"
3523008,,canopy_proportion_road,199,SLM,SLM,0.5633,428.65,"{""rho"":0.6151,""(Intercept)"":0.0225,""Ethno.cultural.Composition"":-0.3462,""Economic.Dependency"":-0.0501,""CISV.Scores"":0.0512,""total_area_km2_road"":-0.137}"
3524001,,canopy_proportion_da,311,SLM,SLM,0.5811,658.4,"{""rho"":0.7072,""(Intercept)"":-0.0252,""Ethno.cultural.Composition"":-0.2056,""Economic.Dependency"":0.0523,""CISV.Scores"":-0.0657,""total_area_km2_da"":0.0721}"
3524001,,canopy_proportion_road,311,SLM,SLM,0.7166,550.54,"{""rho"":0.8029,""(Intercept)"":0.0583,""Ethno.cultural.Composition"":-0.1552,""Economic.Dependency"":0.0208,""CISV.Scores"":-0.0796,""total_area_km2_road"":-0.0848}"
3524002,,canopy_proportion_da,283,SAC,SAC (all significant),0.5505,633.57,"{""rho"":0.7473,""lambda"":-0.3334,""(Intercept)"":0.0055,""Ethno.cultural.Composition"":-0.1863,""Economic.Dependency"":0.0728,""CISV.Scores"":-0.0668,""total_area_km2_da"":0.0428}"
3524002,,canopy_proportion_road,283,SAC,SAC (all significant),0.6419,593.7,"{""rho"":-0.3569,""lambda"":0.8854,""(Intercept)"":0.2417,""Ethno.cultural.Composition"":-0.1716,""Economic.Dependency"":0.0824,""CISV.Scores"":-0.1668,""total_area_km2_road"":-0.2047}"
3525005,,canopy_proportion_da,887,SLM,SLM,0.5162,1975.28,"{""rho"":0.6884,""(Intercept)"":-0.0195,""Ethno.cultural.Composition"":-0.1162,""Economic.Dependency"":0.0153,""CISV.Scores"":-0.0124,""total_area_km2_da"":0.0258}"
3525005,,canopy_proportion_road,887,SAC,SAC (all significant),0.4897,2033.08,"{""rho"":0.7121,""lambda"":-0.0667,""(Intercept)"":0.0372,""Ethno.cultural.Composition"":-0.1943,""Economic.Dependency"":0.0578,""CISV.Scores"":-0.0585,""total_area_km2_road"":-0.1008}"
3526032,,canopy_proportion_da,91,SLM,SLM,0.165,256.86,"{""rho"":0.3437,""(Intercept)"":0.0042,""Ethno.cultural.Composition"":-0.0741,""Economic.Dependency"":0.0683,""CISV.Scores"":-0.1808,""total_area_km2_da"":0.047}"
3526032,,canopy_proportion_road,91,SLM,SLM,0.4698,222.17,"{""rho"":0.6541,""(Intercept)"":0.0564,""Ethno.cultural.Composition"":-0.1597,""Economic.Dependency"":0.1775,""CISV.Scores"":0.0884,""total_area_km2_road"":-0.1587}"
3526043,,canopy_proportion_da,148,SAC,SAC,0.2474,395.98,"{""rho"":0.2649,""lambda"":0.2149,""(Intercept)"":0.013,""Ethno.cultural.Composition"":-0.1238,""Economic.Dependency"":0.0785,""CISV.Scores"":-0.0616,""total_area_km2_da"":0.2703}"
3526043,,canopy_proportion_road,148,SLM,SLM,0.4021,365.05,"{""rho"":0.5267,""(Intercept)"":0.0562,""Ethno.cultural.Composition"":-0.0875,""Economic.Dependency"":0.1489,""CISV.Scores"":-0.3025,""total_area_km2_road"":-0.1741}"
3526053,,canopy_proportion_da,229,SLM,SLM,0.5342,517.83,"{""rho"":0.7563,""(Intercept)"":-0.0055,""Ethno.cultural.Composition"":-0.1057,""Economic.Dependency"":0.0686,""CISV.Scores"":-0.0645,""total_area_km2_da"":-0.084}"
3526053,,canopy_proportion_road,229,SLM,SLM,0.6059,477.03,"{""rho"":0.7316,""(Intercept)"":0.049,""Ethno.cultural.Composition"":-0.0624,""Economic.Dependency"":0.1003,""CISV.Scores"":-0.1942,""total_area_km2_road"":-0.1706}"
3526065,,canopy_proportion_da,38,OLS,OLS,0.1376,113.2,"{""(Intercept)"":-1.21e-16,""Ethno.cultural.Composition"":0.0154,""Economic.Dependency"":0.4429,""CISV.Scores"":-0.2456,""total_area_km2_da"":-0.0915}"
3526065,,canopy_proportion_road,38,SLM,SLM,0.3913,104.63,"{""rho"":0.5574,""(Intercept)"":0.0627,""Ethno.cultural.Composition"":0.0467,""Economic.Dependency"":0.2134,""CISV.Scores"":-0.2741,""total_area_km2_road"":-0.3515}"
3529006,,canopy_proportion_da,173,SAC,SAC,0.3103,454.88,"{""rho"":0.5836,""lambda"":-0.1864,""(Intercept)"":-0.0053,""Ethno.cultural.Composition"":-0.2716,""Economic.Dependency"":-0.0405,""CISV.Scores"":-0.1221,""total_area_km2_da"":0.0044}"
3529006,,canopy_proportion_road,173,SLM,SLM,0.407,422.07,"{""rho"":0.4983,""(Intercept)"":0.0193,""Ethno.cultural.Composition"":-0.2018,""Economic.Dependency"":0.1047,""CISV.Scores"":-0.2951,""total_area_km2_road"":-0.1985}"
3530010,,canopy_proportion_da,189,SAC,SAC,0.4066,467.32,"{""rho"":0.5828,""lambda"":0.1633,""(Intercept)"":-0.0227,""Ethno.cultural.Composition"":-0.1742,""Economic.Dependency"":0.1283,""CISV.Scores"":-0.11,""total_area_km2_da"":0.0758}"
3530010,,canopy_proportion_road,189,SAC,SAC (all significant),0.6372,382.8,"{""rho"":0.6914,""lambda"":0.2532,""(Intercept)"":0.0216,""Ethno.cultural.Composition"":-0.2207,""Economic.Dependency"":0.0281,""CISV.Scores"":-0.0795,""total_area_km2_road"":-0.1107}"
3530013,,canopy_proportion_da,320,SEM,SEM,0.2112,854.71,"{""lambda"":0.4019,""(Intercept)"":-0.0124,""Ethno.cultural.Composition"":-0.1823,""Economic.Dependency"":0.2183,""CISV.Scores"":-0.139,""total_area_km2_da"":0.1163}"
3530013,,canopy_proportion_road,320,SLM,SLM,0.4913,738.7,"{""rho"":0.6961,""(Intercept)"":0.0437,""Ethno.cultural.Composition"":-0.1529,""Economic.Dependency"":0.1734,""CISV.Scores"":-0.1288,""total_area_km2_road"":-0.1293}"
3530016,,canopy_proportion_da,154,SAC,SAC,0.3248,408,"{""rho"":-0.1819,""lambda"":0.6618,""(Intercept)"":0.0536,""Ethno.cultural.Composition"":-0.2081,""Economic.Dependency"":0.109,""CISV.Scores"":-0.0907,""total_area_km2_da"":0.1624}"
3530016,,canopy_proportion_road,154,SLM,SLM,0.4987,357.97,"{""rho"":0.6386,""(Intercept)"":0.0342,""Ethno.cultural.Composition"":-0.19,""Economic.Dependency"":0.1556,""CISV.Scores"":-0.0151,""total_area_km2_road"":-0.1038}"
3531011,,canopy_proportion_da,45,OLS,OLS,0.3542,119.02,"{""(Intercept)"":-4.4372e-17,""Ethno.cultural.Composition"":-0.2716,""Economic.Dependency"":0.4465,""CISV.Scores"":-0.1952,""total_area_km2_da"":-0.3615}"
3531011,,canopy_proportion_road,45,SLM,SLM,0.4283,118.18,"{""rho"":0.518,""(Intercept)"":0.0143,""Ethno.cultural.Composition"":-0.2837,""Economic.Dependency"":0.2393,""CISV.Scores"":-0.2201,""total_area_km2_road"":-0.3599}"
3532042,,canopy_proportion_da,61,SAC,SAC (all significant),0.5877,151.72,"{""rho"":0.876,""lambda"":-0.6439,""(Intercept)"":-0.0239,""Ethno.cultural.Composition"":-0.2883,""Economic.Dependency"":0.1111,""CISV.Scores"":-0.188,""total_area_km2_da"":0.1527}"
3532042,,canopy_proportion_road,61,SLM,SLM,0.5625,143.45,"{""rho"":0.7234,""(Intercept)"":0.0364,""Ethno.cultural.Composition"":-0.2009,""Economic.Dependency"":0.025,""CISV.Scores"":-0.2381,""total_area_km2_road"":-0.1461}"
3534021,,canopy_proportion_da,61,SLM,SLM,0.5079,150.61,"{""rho"":0.7265,""(Intercept)"":-0.003,""Ethno.cultural.Composition"":-0.2131,""Economic.Dependency"":0.0588,""CISV.Scores"":-0.0285,""total_area_km2_da"":0.1159}"
3534021,,canopy_proportion_road,61,SLM,SLM,0.3969,159.11,"{""rho"":0.5472,""(Intercept)"":0.0214,""Ethno.cultural.Composition"":-0.1956,""Economic.Dependency"":0.1154,""CISV.Scores"":-0.0263,""total_area_km2_road"":-0.2515}"
3537034,,canopy_proportion_da,49,SAC,SAC,0.3524,135.45,"{""rho"":0.497,""lambda"":-0.0066,""(Intercept)"":-0.0287,""Ethno.cultural.Composition"":-0.1918,""Economic.Dependency"":-0.0035,""CISV.Scores"":-0.1267,""total_area_km2_da"":-0.1886}"
3537034,,canopy_proportion_road,49,OLS,OLS,0.2871,133.47,"{""(Intercept)"":-8.0801e-18,""Ethno.cultural.Composition"":-0.4762,""Economic.Dependency"":-0.0218,""CISV.Scores"":-0.0023,""total_area_km2_road"":-0.2306}"
3537039,,canopy_proportion_da,381,SLM,SLM,0.3291,964.51,"{""rho"":0.549,""(Intercept)"":0.0231,""Ethno.cultural.Composition"":-0.1354,""Economic.Dependency"":-0.1212,""CISV.Scores"":-0.0579,""total_area_km2_da"":-0.0745}"
3537039,,canopy_proportion_road,381,SLM,SLM,0.5102,858.37,"{""rho"":0.6705,""(Intercept)"":0.0603,""Ethno.cultural.Composition"":-0.0379,""Economic.Dependency"":-0.0995,""CISV.Scores"":-0.1609,""total_area_km2_road"":-0.2805}"
3539036,,canopy_proportion_da,569,SLM,SLM,0.3824,1388.56,"{""rho"":0.5658,""(Intercept)"":-0.0151,""Ethno.cultural.Composition"":-0.2095,""Economic.Dependency"":0.0996,""CISV.Scores"":-0.0541,""total_area_km2_da"":-0.0476}"
3539036,,canopy_proportion_road,569,SAC,SAC (all significant),0.5224,1258.4,"{""rho"":0.5055,""lambda"":0.4615,""(Intercept)"":0.0788,""Ethno.cultural.Composition"":-0.175,""Economic.Dependency"":0.0607,""CISV.Scores"":-0.1703,""total_area_km2_road"":-0.1118}"
3542059,,canopy_proportion_da,43,SLM,SLM,0.3046,121.6,"{""rho"":0.4764,""(Intercept)"":-0.0061,""Ethno.cultural.Composition"":0.012,""Economic.Dependency"":0.0702,""CISV.Scores"":-0.2951,""total_area_km2_da"":-0.0681}"
3542059,,canopy_proportion_road,43,SLM,SLM,0.5662,103.85,"{""rho"":0.6574,""(Intercept)"":-0.0066,""Ethno.cultural.Composition"":-0.0515,""Economic.Dependency"":0.1516,""CISV.Scores"":-0.2805,""total_area_km2_road"":-0.1586}"
3543031,,canopy_proportion_da,34,OLS,OLS,0.1633,101.41,"{""(Intercept)"":-8.6995e-17,""Ethno.cultural.Composition"":-0.2991,""Economic.Dependency"":-0.2897,""CISV.Scores"":0.2577,""total_area_km2_da"":0.3715}"
3543031,,canopy_proportion_road,34,OLS,OLS,0.2428,98.02,"{""(Intercept)"":-7.6036e-18,""Ethno.cultural.Composition"":-0.4572,""Economic.Dependency"":-0.1914,""CISV.Scores"":0.3614,""total_area_km2_road"":-0.1436}"
3543042,,canopy_proportion_da,243,SAC,SAC,0.2904,652.44,"{""rho"":0.6888,""lambda"":-0.3957,""(Intercept)"":-0.0335,""Ethno.cultural.Composition"":-0.147,""Economic.Dependency"":0.0865,""CISV.Scores"":-0.0139,""total_area_km2_da"":0.0919}"
3543042,,canopy_proportion_road,243,SLM,SLM,0.6048,509.59,"{""rho"":0.758,""(Intercept)"":0.0485,""Ethno.cultural.Composition"":-0.169,""Economic.Dependency"":-0.0436,""CISV.Scores"":0.0608,""total_area_km2_road"":-0.1194}"
3543052,,canopy_proportion_da,61,OLS,OLS,0.3193,160.64,"{""(Intercept)"":-3.8479e-17,""Ethno.cultural.Composition"":-0.3283,""Economic.Dependency"":-0.3075,""CISV.Scores"":-0.0477,""total_area_km2_da"":-0.401}"
3543052,,canopy_proportion_road,61,SAC,SAC,0.4304,156.14,"{""rho"":0.4251,""lambda"":-0.0068,""(Intercept)"":0.0195,""Ethno.cultural.Composition"":-0.2708,""Economic.Dependency"":0.1276,""CISV.Scores"":-0.1997,""total_area_km2_road"":-0.1784}"
3543074,,canopy_proportion_da,33,OLS,OLS,0.2816,93.72,"{""(Intercept)"":-1.2418e-16,""Ethno.cultural.Composition"":0.0128,""Economic.Dependency"":-0.1361,""CISV.Scores"":-0.2451,""total_area_km2_da"":0.4504}"
3543074,,canopy_proportion_road,33,SAC,SAC,0.4291,95.64,"{""rho"":0.6883,""lambda"":-0.557,""(Intercept)"":0.0084,""Ethno.cultural.Composition"":-0.1629,""Economic.Dependency"":-0.2025,""CISV.Scores"":-0.0862,""total_area_km2_road"":0.3323}"
4607062,,canopy_proportion_da,77,SLM,SLM,0.3687,201.07,"{""rho"":0.555,""(Intercept)"":0.054,""Ethno.cultural.Composition"":-0.2485,""Economic.Dependency"":-0.1925,""CISV.Scores"":-0.0009,""total_area_km2_da"":-0.2653}"
4607062,,canopy_proportion_road,77,SAC,SAC,0.523,180.69,"{""rho"":0.4429,""lambda"":0.2905,""(Intercept)"":0.0428,""Ethno.cultural.Composition"":-0.1981,""Economic.Dependency"":-0.1078,""CISV.Scores"":-0.1897,""total_area_km2_road"":-0.4369}"
4611040,,canopy_proportion_da,1126,SAC,SAC (all significant),0.7023,2103,"{""rho"":-0.2581,""lambda"":0.9074,""(Intercept)"":0.2344,""Ethno.cultural.Composition"":-0.1538,""Economic.Dependency"":-0.0059,""CISV.Scores"":-0.1232,""total_area_km2_da"":-0.0731}"
4611040,,canopy_proportion_road,1126,SAC,SAC (all significant),0.7161,1995.59,"{""rho"":0.8548,""lambda"":-0.0501,""(Intercept)"":0.0425,""Ethno.cultural.Composition"":-0.0723,""Economic.Dependency"":-0.054,""CISV.Scores"":-0.0612,""total_area_km2_road"":-0.1499}"
4706027,,canopy_proportion_da,382,SLM,SLM,0.6964,708.49,"{""rho"":0.8414,""(Intercept)"":0.0645,""Ethno.cultural.Composition"":-0.1877,""Economic.Dependency"":-0.0936,""CISV.Scores"":0.0721,""total_area_km2_da"":-0.1428}"
4706027,,canopy_proportion_road,382,SLM,SLM,0.7265,678.18,"{""rho"":0.8783,""(Intercept)"":0.0588,""Ethno.cultural.Composition"":-0.1528,""Economic.Dependency"":-0.1102,""CISV.Scores"":0.0754,""total_area_km2_road"":-0.1555}"
4707039,,canopy_proportion_da,64,SAC,SAC,0.4035,168.94,"{""rho"":0.1168,""lambda"":0.602,""(Intercept)"":0.0959,""Ethno.cultural.Composition"":-0.1076,""Economic.Dependency"":0.0293,""CISV.Scores"":-0.1784,""total_area_km2_da"":-0.3743}"
4707039,,canopy_proportion_road,64,SAC,SAC,0.6153,147.22,"{""rho"":0.1864,""lambda"":0.8081,""(Intercept)"":0.0532,""Ethno.cultural.Composition"":-0.0576,""Economic.Dependency"":-0.0625,""CISV.Scores"":-0.1866,""total_area_km2_road"":-0.4371}"
4708004,,canopy_proportion_da,30,OLS,OLS,0.4952,75.61,"{""(Intercept)"":9.3027e-18,""Ethno.cultural.Composition"":-0.0334,""Economic.Dependency"":-0.2411,""CISV.Scores"":0.3442,""total_area_km2_da"":-0.5431}"
4708004,,canopy_proportion_road,30,OLS,OLS,0.5488,72.25,"{""(Intercept)"":6.9669e-17,""Ethno.cultural.Composition"":-0.1098,""Economic.Dependency"":-0.2308,""CISV.Scores"":0.4526,""total_area_km2_road"":-0.5502}"
4709012,,canopy_proportion_da,31,SLM,SLM,0.6371,72.15,"{""rho"":0.5826,""(Intercept)"":0.0502,""Ethno.cultural.Composition"":-0.0584,""Economic.Dependency"":-0.0968,""CISV.Scores"":0.2696,""total_area_km2_da"":-0.4523}"
4709012,,canopy_proportion_road,31,SLM,SLM,0.7331,65.11,"{""rho"":0.7565,""(Intercept)"":0.0621,""Ethno.cultural.Composition"":-0.1166,""Economic.Dependency"":-0.1713,""CISV.Scores"":0.3315,""total_area_km2_road"":-0.3632}"
4711066,,canopy_proportion_da,367,SLM,SLM,0.708,663.33,"{""rho"":0.8257,""(Intercept)"":0.0633,""Ethno.cultural.Composition"":-0.2483,""Economic.Dependency"":-0.1484,""CISV.Scores"":0.1466,""total_area_km2_da"":-0.1018}"
4711066,,canopy_proportion_road,367,SLM,SLM,0.781,570.72,"{""rho"":0.8793,""(Intercept)"":0.0533,""Ethno.cultural.Composition"":-0.1986,""Economic.Dependency"":-0.1384,""CISV.Scores"":0.1361,""total_area_km2_road"":-0.1134}"
4715066,,canopy_proportion_da,68,SAC,SAC,0.2448,191.72,"{""rho"":0.4138,""lambda"":0.2015,""(Intercept)"":-0.0104,""Ethno.cultural.Composition"":0.0017,""Economic.Dependency"":-0.0595,""CISV.Scores"":0.0516,""total_area_km2_da"":0.2395}"
4715066,,canopy_proportion_road,68,SAC,SAC,0.2675,190.39,"{""rho"":0.3581,""lambda"":0.3751,""(Intercept)"":0.0632,""Ethno.cultural.Composition"":-0.1435,""Economic.Dependency"":-0.1644,""CISV.Scores"":0.0734,""total_area_km2_road"":-0.072}"
4801006,,canopy_proportion_da,100,SLM,SLM,0.6951,193.76,"{""rho"":0.7901,""(Intercept)"":0.0369,""Ethno.cultural.Composition"":0.0241,""Economic.Dependency"":-0.1889,""CISV.Scores"":0.2149,""total_area_km2_da"":-0.2315}"
4801006,,canopy_proportion_road,100,SLM,SLM,0.7422,176.95,"{""rho"":0.7895,""(Intercept)"":0.0236,""Ethno.cultural.Composition"":-0.0666,""Economic.Dependency"":-0.2022,""CISV.Scores"":0.2678,""total_area_km2_road"":-0.1963}"
4802012,,canopy_proportion_da,144,SAC,SAC (all significant),0.7422,271.39,"{""rho"":0.9363,""lambda"":-0.4986,""(Intercept)"":0.058,""Ethno.cultural.Composition"":-0.0775,""Economic.Dependency"":-0.0349,""CISV.Scores"":0.0487,""total_area_km2_da"":-0.1757}"
4802012,,canopy_proportion_road,144,SAC,SAC (all significant),0.7179,282.79,"{""rho"":0.9346,""lambda"":-0.434,""(Intercept)"":0.0417,""Ethno.cultural.Composition"":-0.0634,""Economic.Dependency"":-0.0802,""CISV.Scores"":0.0621,""total_area_km2_road"":-0.1497}"
4806012,,canopy_proportion_da,36,OLS,OLS,0.3227,99.12,"{""(Intercept)"":-2.7665e-17,""Ethno.cultural.Composition"":-0.486,""Economic.Dependency"":-0.0397,""CISV.Scores"":0.3952,""total_area_km2_da"":0.0462}"
4806012,,canopy_proportion_road,36,SLM,SLM,0.6057,85.16,"{""rho"":0.6411,""(Intercept)"":0.0183,""Ethno.cultural.Composition"":-0.3256,""Economic.Dependency"":-0.0752,""CISV.Scores"":0.2006,""total_area_km2_road"":-0.2163}"
4806016,,canopy_proportion_da,1664,SAC,SAC (all significant),0.6523,3253.57,"{""rho"":0.812,""lambda"":-0.2486,""(Intercept)"":0.025,""Ethno.cultural.Composition"":-0.1264,""Economic.Dependency"":0.1026,""CISV.Scores"":-0.0276,""total_area_km2_da"":-0.0407}"
4806016,,canopy_proportion_road,1664,SAC,SAC (all significant),0.6444,3341.94,"{""rho"":0.8607,""lambda"":-0.2654,""(Intercept)"":0.0408,""Ethno.cultural.Composition"":-0.1002,""Economic.Dependency"":0.0257,""CISV.Scores"":0.0004,""total_area_km2_road"":-0.0748}"
4806019,,canopy_proportion_da,38,OLS,OLS,0.1404,113.07,"{""(Intercept)"":-1.1851e-17,""Ethno.cultural.Composition"":-0.1773,""Economic.Dependency"":0.2127,""CISV.Scores"":-0.0764,""total_area_km2_da"":0.2406}"
4806019,,canopy_proportion_road,38,OLS,OLS,0.1009,114.78,"{""(Intercept)"":-2.5922e-16,""Ethno.cultural.Composition"":-0.207,""Economic.Dependency"":-0.093,""CISV.Scores"":0.3578,""total_area_km2_road"":0.038}"
4806021,,canopy_proportion_da,89,SLM,SLM,0.4843,213.88,"{""rho"":0.6291,""(Intercept)"":-0.0063,""Ethno.cultural.Composition"":-0.0689,""Economic.Dependency"":0.2661,""CISV.Scores"":0.0199,""total_area_km2_da"":-0.0056}"
4806021,,canopy_proportion_road,89,SLM,SLM,0.549,205.16,"{""rho"":0.7283,""(Intercept)"":0.0118,""Ethno.cultural.Composition"":-0.279,""Economic.Dependency"":-0.0042,""CISV.Scores"":0.1636,""total_area_km2_road"":0.0348}"
4808011,,canopy_proportion_da,154,SAC,SAC (all significant),0.4793,386.89,"{""rho"":-0.5011,""lambda"":0.8753,""(Intercept)"":-0.3129,""Ethno.cultural.Composition"":-0.0246,""Economic.Dependency"":-0.0711,""CISV.Scores"":-0.1832,""total_area_km2_da"":0.0037}"
4808011,,canopy_proportion_road,154,SAC,SAC (all significant),0.6346,332.04,"{""rho"":0.888,""lambda"":-0.4097,""(Intercept)"":0.0186,""Ethno.cultural.Composition"":-0.1788,""Economic.Dependency"":-0.1155,""CISV.Scores"":0.2031,""total_area_km2_road"":-0.0332}"
4810011,,canopy_proportion_da,32,OLS,OLS,0.4522,82.54,"{""(Intercept)"":1.0401e-17,""Ethno.cultural.Composition"":0.1705,""Economic.Dependency"":0.3761,""CISV.Scores"":-0.0162,""total_area_km2_da"":-0.6165}"
4810011,,canopy_proportion_road,32,OLS,OLS,0.3901,85.97,"{""(Intercept)"":2.536e-17,""Ethno.cultural.Composition"":0.2442,""Economic.Dependency"":0.2466,""CISV.Scores"":0.1692,""total_area_km2_road"":-0.5307}"
4810039,,canopy_proportion_da,45,OLS,OLS,0.2357,126.6,"{""(Intercept)"":-6.0765e-17,""Ethno.cultural.Composition"":-0.0892,""Economic.Dependency"":0.2155,""CISV.Scores"":0.1502,""total_area_km2_da"":-0.3837}"
4810039,,canopy_proportion_road,45,SLM,SLM,0.3676,123.72,"{""rho"":0.6125,""(Intercept)"":0.0407,""Ethno.cultural.Composition"":-0.0642,""Economic.Dependency"":0.0624,""CISV.Scores"":0.1038,""total_area_km2_road"":-0.1933}"
4811016,,canopy_proportion_da,30,OLS,OLS,0.3689,82.31,"{""(Intercept)"":-2.5416e-16,""Ethno.cultural.Composition"":-0.4794,""Economic.Dependency"":0.1319,""CISV.Scores"":0.0056,""total_area_km2_da"":-0.2377}"
4811016,,canopy_proportion_road,30,OLS,OLS,0.3592,82.77,"{""(Intercept)"":-1.1453e-16,""Ethno.cultural.Composition"":-0.564,""Economic.Dependency"":-0.6128,""CISV.Scores"":0.7835,""total_area_km2_road"":-0.2835}"
4811049,,canopy_proportion_da,36,OLS,OLS,0.1942,105.38,"{""(Intercept)"":-2.2878e-16,""Ethno.cultural.Composition"":-0.0496,""Economic.Dependency"":0.4429,""CISV.Scores"":-0.0514,""total_area_km2_da"":0.0877}"
4811049,,canopy_proportion_road,36,SLM,SLM,0.5427,91.2,"{""rho"":0.7072,""(Intercept)"":0.0095,""Ethno.cultural.Composition"":-0.1742,""Economic.Dependency"":0.0869,""CISV.Scores"":0.0935,""total_area_km2_road"":-0.0404}"
4811061,,canopy_proportion_da,1317,SLM,SLM,0.6302,2625.5,"{""rho"":0.7807,""(Intercept)"":-0.0172,""Ethno.cultural.Composition"":-0.1176,""Economic.Dependency"":-0.0387,""CISV.Scores"":-0.0007,""total_area_km2_da"":-0.0168}"
